FIPS,total_pop,60plus,area,NAME,median_age,pop_white,pop_black,pop_hispanic
01001,55036,10523,594.44,"Autauga County, Alabama",37.8,76.9,19.1,2.8
01003,203360,53519,1589.78,"Baldwin County, Alabama",42.8,86.3,9.5,4.5
01005,26201,6150,884.88,"Barbour County, Alabama",39.9,47.4,47.6,4.3
01007,22580,4773,622.58,"Bibb County, Alabama",39.9,76.7,22.3,2.4
01009,57667,13600,644.78,"Blount County, Alabama",40.8,95.5,1.5,9.1
01011,10478,2371,622.8,"Bullock County, Alabama",39.6,22.0,76.2,0.5
01013,20126,5151,776.83,"Butler County, Alabama",40.7,52.0,45.2,0.3
01015,115527,27115,605.87,"Calhoun County, Alabama",39.7,74.3,20.6,3.7
01017,33895,8501,596.53,"Chambers County, Alabama",43.0,57.6,39.4,2.3
01019,25855,7513,553.7,"Cherokee County, Alabama",45.9,92.8,4.9,1.5
01021,43805,9429,692.85,"Chilton County, Alabama",38.6,83.3,9.4,7.8
01023,13188,3759,913.5,"Choctaw County, Alabama",46.1,56.7,42.8,0.6
01025,24625,6134,1238.46,"Clarke County, Alabama",42.3,53.0,45.8,0.2
01027,13407,3480,603.96,"Clay County, Alabama",43.7,83.0,14.8,3.1
01029,14939,3691,560.1,"Cleburne County, Alabama",42.5,94.2,2.6,2.4
01031,51073,11027,678.97,"Coffee County, Alabama",39.3,75.9,17.2,6.9
01033,54435,14062,592.62,"Colbert County, Alabama",42.7,79.4,15.8,2.5
01035,12649,3542,850.16,"Conecuh County, Alabama",44.8,50.9,47.7,0.8
01037,10955,3145,650.93,"Coosa County, Alabama",46.9,65.7,34.2,0.5
01039,37519,10290,1030.46,"Covington County, Alabama",43.9,84.7,12.9,1.6
01041,13866,3371,608.84,"Crenshaw County, Alabama",41.5,71.7,23.1,2.0
01043,81703,19667,734.84,"Cullman County, Alabama",40.6,95.2,1.2,4.3
01045,49393,10498,561.15,"Dale County, Alabama",37.5,72.9,19.8,6.2
01047,40755,9436,978.69,"Dallas County, Alabama",39.5,28.1,70.5,1.0
01049,71194,15782,777.09,"DeKalb County, Alabama",39.3,85.6,1.4,14.4
01051,80989,15929,618.48,"Elmore County, Alabama",38.6,74.9,21.4,2.9
01053,37621,8677,945.08,"Escambia County, Alabama",39.7,61.9,31.9,2.2
01055,103132,25122,534.99,"Etowah County, Alabama",41.3,80.3,15.7,3.8
01057,16657,4604,627.66,"Fayette County, Alabama",43.8,85.0,11.9,1.7
01059,31507,7054,633.82,"Franklin County, Alabama",37.6,83.9,4.4,16.9
01061,26572,6716,574.41,"Geneva County, Alabama",42.4,86.3,9.5,3.9
01063,8533,2352,647.11,"Greene County, Alabama",42.5,17.1,79.7,1.7
01065,14995,3945,643.94,"Hale County, Alabama",39.2,39.6,58.8,0.9
01067,17110,4834,561.75,"Henry County, Alabama",44.1,71.1,27.7,2.6
01069,104108,23474,579.82,"Houston County, Alabama",39.8,69.4,26.9,3.3
01071,52326,13441,1077.87,"Jackson County, Alabama",43.3,91.0,3.5,2.9
