state,county,NAME,median_age,pop_white,pop_black,pop_hispanic
28,151,"Washington County, Mississippi",36.9,25.7,72.2,1.5
28,111,"Perry County, Mississippi",40.9,78.8,19.7,1.5
28,019,"Choctaw County, Mississippi",44.0,67.7,31.2,0.4
28,057,"Itawamba County, Mississippi",40.0,90.9,7.2,1.5
28,015,"Carroll County, Mississippi",47.0,64.4,34.6,0.3
28,043,"Grenada County, Mississippi",39.8,55.2,43.4,0.7
28,063,"Jefferson County, Mississippi",39.3,13.3,85.9,0.4
28,041,"Greene County, Mississippi",39.1,73.3,25.5,1.2
28,093,"Marshall County, Mississippi",40.2,49.3,47.9,3.6
28,119,"Quitman County, Mississippi",38.4,27.5,71.6,1.5
28,011,"Bolivar County, Mississippi",35.2,33.1,64.3,2.2
28,073,"Lamar County, Mississippi",35.4,76.4,20.0,2.6
28,081,"Lee County, Mississippi",37.2,67.6,29.0,2.6
28,113,"Pike County, Mississippi",37.3,44.5,53.5,1.7
28,135,"Tallahatchie County, Mississippi",34.6,35.4,49.4,13.8
28,129,"Smith County, Mississippi",40.1,75.8,23.1,1.7
28,131,"Stone County, Mississippi",37.5,78.2,19.3,2.0
28,149,"Warren County, Mississippi",38.8,48.6,49.2,2.2
28,023,"Clarke County, Mississippi",42.1,63.5,35.8,0.4
28,069,"Kemper County, Mississippi",41.8,35.3,60.9,1.3
28,097,"Montgomery County, Mississippi",42.1,52.9,43.4,1.3
28,105,"Oktibbeha County, Mississippi",25.8,57.7,37.1,1.7
28,109,"Pearl River County, Mississippi",40.9,84.0,12.8,3.0
28,079,"Leake County, Mississippi",36.6,51.4,42.0,4.5
28,103,"Noxubee County, Mississippi",36.4,27.2,72.2,1.4
28,099,"Neshoba County, Mississippi",36.8,60.2,21.1,2.0
28,121,"Rankin County, Mississippi",37.4,76.0,20.5,2.7
28,137,"Tate County, Mississippi",37.6,66.4,29.3,2.7
28,077,"Lawrence County, Mississippi",40.3,65.4,33.2,0.6
28,107,"Panola County, Mississippi",37.8,48.6,49.9,2.0
28,161,"Yalobusha County, Mississippi",42.6,58.1,40.7,1.6
28,017,"Chickasaw County, Mississippi",36.8,52.5,43.4,4.7
28,029,"Copiah County, Mississippi",38.2,45.4,51.9,3.2
28,039,"George County, Mississippi",36.3,89.4,8.0,2.7
28,049,"Hinds County, Mississippi",34.4,25.7,72.3,1.5
28,101,"Newton County, Mississippi",36.6,62.4,30.3,1.9
28,145,"Union County, Mississippi",38.2,80.0,14.7,4.3
28,125,"Sharkey County, Mississippi",42.1,25.1,74.0,0.1
28,139,"Tippah County, Mississippi",39.4,78.7,17.1,4.7
28,035,"Forrest County, Mississippi",32.4,59.5,36.9,3.0
28,045,"Hancock County, Mississippi",44.0,87.3,8.1,3.8
28,071,"Lafayette County, Mississippi",29.9,71.7,23.8,2.6
28,055,"Issaquena County, Mississippi",40.1,39.2,60.2,1.2
28,087,"Lowndes County, Mississippi",37.1,53.6,43.7,2.0
28,083,"Leflore County, Mississippi",33.8,24.2,73.3,2.6
28,157,"Wilkinson County, Mississippi",37.5,28.0,71.2,0.4
28,047,"Harrison County, Mississippi",36.0,68.1,24.6,5.4
28,065,"Jefferson Davis County, Mississippi",44.3,37.9,61.2,0.3
28,085,"Lincoln County, Mississippi",38.6,68.3,31.1,1.1
28,123,"Scott County, Mississippi",36.5,58.3,38.3,11.1
28,159,"Winston County, Mississippi",41.6,50.3,47.8,1.2
28,163,"Yazoo County, Mississippi",35.7,37.8,56.9,6.5
28,009,"Benton County, Mississippi",40.4,61.3,35.8,2.6
28,037,"Franklin County, Mississippi",42.1,63.5,36.0,0.7
28,061,"Jasper County, Mississippi",40.6,44.8,54.4,0.4
28,067,"Jones County, Mississippi",37.2,68.7,29.2,4.4
28,095,"Monroe County, Mississippi",41.2,68.1,30.9,1.2
28,133,"Sunflower County, Mississippi",35.3,25.0,74.0,1.7
28,155,"Webster County, Mississippi",39.8,79.4,19.3,1.5
28,001,"Adams County, Mississippi",41.0,40.5,56.6,5.6
28,025,"Clay County, Mississippi",39.5,39.6,59.6,0.7
28,031,"Covington County, Mississippi",37.7,61.1,37.8,0.5
28,053,"Humphreys County, Mississippi",38.0,21.6,76.0,3.1
29,123,"Madison County, Missouri",42.1,97.1,1.0,2.4
29,229,"Wright County, Missouri",42.0,96.4,0.6,1.8
29,217,"Vernon County, Missouri",40.9,95.6,0.9,2.1
29,195,"Saline County, Missouri",38.0,85.6,4.7,9.9
29,147,"Nodaway County, Missouri",29.2,93.6,2.8,1.7
29,041,"Chariton County, Missouri",45.5,95.6,2.4,0.5
29,079,"Grundy County, Missouri",40.8,95.8,0.5,2.3
29,141,"Morgan County, Missouri",46.1,95.7,0.8,2.2
29,223,"Wayne County, Missouri",47.3,96.7,0.6,1.7
29,017,"Bollinger County, Missouri",44.1,97.5,0.6,1.1
29,031,"Cape Girardeau County, Missouri",36.6,87.7,7.5,2.3
29,205,"Shelby County, Missouri",41.5,96.8,1.9,1.9
29,225,"Webster County, Missouri",37.1,95.7,1.1,2.0
29,005,"Atchison County, Missouri",48.3,97.7,0.4,1.3
29,013,"Bates County, Missouri",41.8,95.5,1.5,2.1
29,015,"Benton County, Missouri",53.3,96.2,0.3,2.0
29,035,"Carter County, Missouri",41.0,95.2,0.0,2.4
29,057,"Dade County, Missouri",46.4,95.3,0.3,2.1
29,115,"Linn County, Missouri",42.1,96.7,0.6,2.2
29,091,"Howell County, Missouri",40.6,96.3,0.5,2.1
29,101,"Johnson County, Missouri",30.1,89.1,4.3,4.2
29,105,"Laclede County, Missouri",40.4,95.2,0.6,2.4
29,125,"Maries County, Missouri",45.0,98.3,0.2,2.6
29,161,"Phelps County, Missouri",35.2,90.6,2.7,2.5
29,165,"Platte County, Missouri",38.3,85.7,6.7,5.9
29,187,"St. Francois County, Missouri",39.6,92.9,4.5,1.5
29,003,"Andrew County, Missouri",42.4,95.7,2.0,2.4
29,033,"Carroll County, Missouri",43.1,95.6,2.3,1.6
29,061,"Daviess County, Missouri",40.5,97.2,1.0,1.6
29,103,"Knox County, Missouri",44.0,96.5,0.5,1.0
29,127,"Marion County, Missouri",39.1,91.6,4.1,1.7
29,151,"Osage County, Missouri",40.3,97.9,0.3,0.8
29,181,"Ripley County, Missouri",42.7,96.3,0.4,1.3
29,219,"Warren County, Missouri",40.1,93.5,2.1,3.3
29,007,"Audrain County, Missouri",39.7,89.1,6.1,3.0
29,043,"Christian County, Missouri",37.9,95.4,0.8,2.9
29,077,"Greene County, Missouri",36.0,90.2,3.3,3.6
29,081,"Harrison County, Missouri",43.0,96.3,0.9,2.2
29,185,"St. Clair County, Missouri",49.9,95.7,0.7,1.3
29,001,"Adair County, Missouri",27.7,91.2,3.4,1.3
29,199,"Scotland County, Missouri",37.5,97.4,1.6,0.0
29,211,"Sullivan County, Missouri",42.6,91.4,2.9,18.2
29,045,"Clark County, Missouri",43.9,97.0,0.3,0.2
29,099,"Jefferson County, Missouri",39.0,96.0,0.9,1.9
29,111,"Lewis County, Missouri",40.3,94.3,3.3,1.8
29,143,"New Madrid County, Missouri",41.7,81.4,15.7,1.8
29,157,"Perry County, Missouri",40.6,97.3,0.3,2.2
29,173,"Ralls County, Missouri",45.0,96.7,1.3,1.2
29,177,"Ray County, Missouri",41.8,95.9,1.7,2.4
29,189,"St. Louis County, Missouri",40.3,68.4,24.1,2.8
29,209,"Stone County, Missouri",53.3,96.4,0.2,2.2
29,009,"Barry County, Missouri",43.5,93.6,0.2,9.2
29,019,"Boone County, Missouri",30.8,81.1,8.8,3.4
29,039,"Cedar County, Missouri",44.3,96.5,0.0,2.2
29,055,"Crawford County, Missouri",41.7,96.7,0.3,1.9
29,093,"Iron County, Missouri",45.4,95.7,1.2,1.7
29,117,"Livingston County, Missouri",40.3,93.8,2.7,1.8
29,135,"Moniteau County, Missouri",37.9,92.6,3.8,4.6
29,149,"Oregon County, Missouri",46.8,95.5,0.1,1.7
29,159,"Pettis County, Missouri",37.9,91.1,3.2,8.7
29,186,"Ste. Genevieve County, Missouri",43.4,96.7,1.8,1.1
29,175,"Randolph County, Missouri",39.1,90.1,5.9,2.0
29,069,"Dunklin County, Missouri",39.9,84.2,9.7,6.5
29,071,"Franklin County, Missouri",40.8,96.1,0.7,1.7
29,089,"Howard County, Missouri",39.3,91.7,5.3,1.5
29,095,"Jackson County, Missouri",36.7,66.6,23.6,8.9
29,131,"Miller County, Missouri",40.8,96.2,0.4,1.9
29,169,"Pulaski County, Missouri",27.7,74.6,12.3,11.0
29,171,"Putnam County, Missouri",46.4,96.4,0.3,0.1
29,213,"Taney County, Missouri",42.1,92.2,1.2,5.8
29,215,"Texas County, Missouri",42.7,93.0,2.3,2.1
29,021,"Buchanan County, Missouri",37.4,87.5,5.6,6.5
29,025,"Caldwell County, Missouri",42.6,96.0,0.5,2.1
29,027,"Callaway County, Missouri",38.6,91.8,4.3,2.0
29,037,"Cass County, Missouri",39.8,91.5,3.6,4.3
29,049,"Clinton County, Missouri",40.7,95.2,1.9,2.1
29,053,"Cooper County, Missouri",39.0,89.0,6.4,1.9
29,059,"Dallas County, Missouri",43.5,96.4,0.0,2.0
29,075,"Gentry County, Missouri",41.5,97.4,0.7,1.5
29,085,"Hickory County, Missouri",55.0,96.2,0.1,1.6
29,113,"Lincoln County, Missouri",37.0,94.7,1.9,2.4
29,133,"Mississippi County, Missouri",40.4,73.2,24.2,2.1
29,137,"Monroe County, Missouri",45.4,94.7,3.5,1.6
29,145,"Newton County, Missouri",39.7,90.8,1.0,5.3
29,153,"Ozark County, Missouri",51.3,96.2,0.0,1.7
29,163,"Pike County, Missouri",39.1,89.1,7.6,2.2
29,183,"St. Charles County, Missouri",38.2,89.9,4.4,3.2
30,017,"Custer County, Montana",40.7,93.9,0.6,3.3
30,041,"Hill County, Montana",34.5,70.5,0.2,3.6
30,075,"Powder River County, Montana",53.0,94.9,0.0,2.7
30,067,"Park County, Montana",46.2,96.0,0.3,3.0
30,085,"Roosevelt County, Montana",30.3,36.6,0.3,3.7
30,005,"Blaine County, Montana",33.8,45.3,0.4,3.5
30,051,"Liberty County, Montana",49.1,98.8,0.0,2.1
30,083,"Richland County, Montana",38.9,93.5,0.0,5.3
30,099,"Teton County, Montana",44.6,94.7,0.2,1.6
30,101,"Toole County, Montana",41.2,90.5,0.2,3.7
30,025,"Fallon County, Montana",39.3,95.2,1.4,2.1
30,019,"Daniels County, Montana",50.7,98.3,0.0,4.8
30,045,"Judith Basin County, Montana",52.2,96.9,0.0,2.3
30,093,"Silver Bow County, Montana",39.8,94.2,0.6,4.6
30,023,"Deer Lodge County, Montana",48.5,92.9,0.7,3.4
30,043,"Jefferson County, Montana",47.9,94.7,0.2,2.4
30,055,"McCone County, Montana",50.1,97.4,0.0,3.6
30,107,"Wheatland County, Montana",40.4,94.8,0.0,2.7
30,087,"Rosebud County, Montana",36.4,58.8,0.1,4.9
30,011,"Carter County, Montana",50.5,97.5,0.0,0.2
30,021,"Dawson County, Montana",40.5,94.8,1.2,3.1
30,007,"Broadwater County, Montana",46.9,96.1,0.1,2.8
30,047,"Lake County, Montana",42.3,67.2,0.3,4.4
30,073,"Pondera County, Montana",40.5,82.0,0.4,2.0
30,111,"Yellowstone County, Montana",38.2,90.7,0.6,5.5
30,081,"Ravalli County, Montana",48.8,96.0,0.1,3.4
30,105,"Valley County, Montana",44.4,86.5,0.1,2.6
30,027,"Fergus County, Montana",46.0,95.1,0.2,2.3
30,061,"Mineral County, Montana",52.6,93.2,0.1,1.9
30,069,"Petroleum County, Montana",52.1,98.1,0.0,0.0
30,089,"Sanders County, Montana",53.2,92.3,0.2,2.8
30,109,"Wibaux County, Montana",46.0,99.3,0.0,4.2
30,059,"Meagher County, Montana",45.9,94.5,0.0,2.7
30,009,"Carbon County, Montana",50.3,96.8,0.4,2.5
30,029,"Flathead County, Montana",42.1,94.5,0.4,2.7
30,071,"Phillips County, Montana",47.2,85.3,0.0,2.5
31,001,"Adams County, Nebraska",37.4,93.3,0.7,9.9
31,109,"Lancaster County, Nebraska",33.3,86.4,4.0,6.9
31,011,"Boone County, Nebraska",44.6,98.4,0.4,2.1
